myc_van_id,first_name,last_name,full_name,email_id,email,phone,voting_address,van_precinct_id,date_of_birth,age,gender,city,state,zip,address_has_long_lat,latitude,longitude,volunteer_level,is_staffer,van_hyperlink
101759270,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,633 Cold Pond Rd Rd ,972186,1953-04-01 05:00:00,67,F,Acworth,NH,03601,0,,,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID629B016H
101759271,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,189 Tucker Rd ,972186,1953-01-01 05:00:00,67,F,South Acworth,NH,03607,1,43.199379,-72.226249,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID729B016I
101759272,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,227 Black North Rd ,972186,1947-06-04 04:00:00,73,M,Acworth,NH,03601,0,,,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID829B016J
101759273,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,44 Underwood Rd ,972186,1954-11-01 05:00:00,66,M,Acworth,NH,03601,0,,,Level 1,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID929B016K
101759274,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,38 Wildwood Rd ,972187,1966-05-14 04:00:00,54,F,Albany,NH,03818,1,43.965704,-71.146234,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDA29B016L
101759275,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,21 Dorothy Dr ,972187,1935-05-31 04:00:00,85,M,Albany,NH,03818,1,43.989857,-71.174611,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDB29B016M
101759276,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,62 Moat View Dr ,972187,1965-04-26 04:00:00,55,F,Albany,NH,03818,1,43.989589,-71.171847,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDC29B016N
101759277,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,21 Chipper Ln Apt A ,972343,1951-09-02 04:00:00,69,F,Laconia,NH,03246,1,43.570682,-71.475829,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDD29B016O
101759278,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,4 Boulder Cir ,972189,1947-04-17 05:00:00,73,M,Allenstown,NH,03275,1,43.15433,-71.372199,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDE29B016P
101759279,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,337 Forest Rd ,972190,1934-01-05 05:00:00,86,M,Alstead,NH,03602,1,43.143073,-72.324907,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EIDF29B016Q
101759280,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,227 MacLean Rd ,972190,1950-02-28 05:00:00,70,M,Alstead,NH,03602,1,43.069429,-72.345832,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID039B016A
101759281,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,14 Pratt Rd ,972190,1951-05-11 04:00:00,69,M,Alstead,NH,03602,1,43.090976,-72.360988,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID139B016B
101759282,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,176 Pratt Rd ,972190,1950-12-01 05:00:00,70,F,Alstead,NH,03602,1,43.101796,-72.3594,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID239B016C
101759283,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,471 Alstead Center Rd ,972190,1960-04-24 05:00:00,60,F,Alstead,NH,03602,1,43.122642,-72.327005,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID339B016D
101759284,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,16 Varney Rd ,972191,1947-01-01 05:00:00,73,M,Alton,NH,03809,1,43.39628,-71.230693,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID439B016E
101759285,Jimmy,Smith,"Smith, Jimmy",,jimmysmith@gmail.com,3456789012,184 Rines Rd ,972191,1940-11-03 05:00:00,80,M,Alton,NH,03809,1,43.537144,-71.188936,Level 0,0,https://www.votebuilder.com/ContactsDetails.aspx?VANID=EID539B016F
